"Step","joint_gating/Pr=0.8/beta=10.0 - Extrinsic return","joint_gating/Pr=0.8/beta=10.0 - Extrinsic return__MIN","joint_gating/Pr=0.8/beta=10.0 - Extrinsic return__MAX"
"357","-420.4013065764764","-420.4013065764764","-420.4013065764764"
"577","-379.69658995661194","-379.69658995661194","-379.69658995661194"
"770","-342.8807695465341","-342.8807695465341","-342.8807695465341"
"875","-308.4527756197675","-308.4527756197675","-308.4527756197675"
"931","-294.22133282681966","-294.22133282681966","-294.22133282681966"
"1092","-295.3736697096765","-295.3736697096765","-295.3736697096765"
"1195","-317.4245411219764","-317.4245411219764","-317.4245411219764"
"1322","-366.1135939535759","-366.1135939535759","-366.1135939535759"
"1401","-323.417667197292","-323.417667197292","-323.417667197292"
"1474","-371.65748242555065","-371.65748242555065","-371.65748242555065"
"1535","-372.63442867222057","-372.63442867222057","-372.63442867222057"
"1671","-372.947158760962","-372.947158760962","-372.947158760962"
"1743","-379.692295304598","-379.692295304598","-379.692295304598"
"1829","-380.4840469152216","-380.4840469152216","-380.4840469152216"
"1919","-368.1620930632399","-368.1620930632399","-368.1620930632399"
"2024","-376.8227194836384","-376.8227194836384","-376.8227194836384"
"2165","-393.9308126329926","-393.9308126329926","-393.9308126329926"
"2229","-379.3075877083985","-379.3075877083985","-379.3075877083985"
"2291","-381.85917176019916","-381.85917176019916","-381.85917176019916"
"2351","-381.23637366482075","-381.23637366482075","-381.23637366482075"
"2422","-362.07694418575556","-362.07694418575556","-362.07694418575556"
"2478","-372.3767150701074","-372.3767150701074","-372.3767150701074"
"2590","-365.77419443792166","-365.77419443792166","-365.77419443792166"
"2655","-373.5111050392962","-373.5111050392962","-373.5111050392962"
"2835","-361.3304357359843","-361.3304357359843","-361.3304357359843"
"2961","-380.4157847066957","-380.4157847066957","-380.4157847066957"
"3048","-383.4455210915362","-383.4455210915362","-383.4455210915362"
"3164","-364.59756530784864","-364.59756530784864","-364.59756530784864"
"3282","-368.5627608182974","-368.5627608182974","-368.5627608182974"
"3338","-370.13381686858696","-370.13381686858696","-370.13381686858696"
"3395","-362.6929056927229","-362.6929056927229","-362.6929056927229"
"3529","-364.3476906264967","-364.3476906264967","-364.3476906264967"
"3612","-353.88788217378783","-353.88788217378783","-353.88788217378783"
"3687","-356.5311453728524","-356.5311453728524","-356.5311453728524"
"3764","-357.5959305988662","-357.5959305988662","-357.5959305988662"
"3828","-369.5957185523679","-369.5957185523679","-369.5957185523679"
"3987","-356.8699529662429","-356.8699529662429","-356.8699529662429"
"4145","-354.50385758749707","-354.50385758749707","-354.50385758749707"
"4268","-363.52061764740046","-363.52061764740046","-363.52061764740046"
"4439","-354.37630928155085","-354.37630928155085","-354.37630928155085"
"4521","-355.44476394218947","-355.44476394218947","-355.44476394218947"
"4609","-355.72431429796814","-355.72431429796814","-355.72431429796814"
"4730","-358.1183389737494","-358.1183389737494","-358.1183389737494"
"4817","-348.09580009989077","-348.09580009989077","-348.09580009989077"
"4959","-372.2626467083628","-372.2626467083628","-372.2626467083628"
"5098","-357.38736360612705","-357.38736360612705","-357.38736360612705"
"5192","-352.76415313716507","-352.76415313716507","-352.76415313716507"
"5248","-345.0646977739191","-345.0646977739191","-345.0646977739191"
"5323","-357.0162060349586","-357.0162060349586","-357.0162060349586"
"5389","-351.5610732424485","-351.5610732424485","-351.5610732424485"
"5459","-357.522606784821","-357.522606784821","-357.522606784821"
"5573","-348.8506876049736","-348.8506876049736","-348.8506876049736"
"5647","-348.82137641651275","-348.82137641651275","-348.82137641651275"
"5796","-349.89075104461665","-349.89075104461665","-349.89075104461665"
"5894","-350.7380432390645","-350.7380432390645","-350.7380432390645"
"6000","-356.2234103327242","-356.2234103327242","-356.2234103327242"
"6070","-370.4981946101514","-370.4981946101514","-370.4981946101514"
"6190","-351.4502596005859","-351.4502596005859","-351.4502596005859"
"6321","-351.75011001694276","-351.75011001694276","-351.75011001694276"
"6399","-362.07657777272544","-362.07657777272544","-362.07657777272544"
"6520","-353.5241701107366","-353.5241701107366","-353.5241701107366"
"6588","-357.26928774395134","-357.26928774395134","-357.26928774395134"
"6681","-353.98496057044133","-353.98496057044133","-353.98496057044133"
"6769","-360.3447763696183","-360.3447763696183","-360.3447763696183"
"6896","-352.49518892214485","-352.49518892214485","-352.49518892214485"
"7011","-353.43174505277693","-353.43174505277693","-353.43174505277693"
"7084","-357.27781540164375","-357.27781540164375","-357.27781540164375"
"7189","-347.39075704140924","-347.39075704140924","-347.39075704140924"
"7258","-360.7261748355849","-360.7261748355849","-360.7261748355849"
"7331","-351.72563036089684","-351.72563036089684","-351.72563036089684"
"7391","-348.9803807879468","-348.9803807879468","-348.9803807879468"
"7476","-358.8718876732053","-358.8718876732053","-358.8718876732053"
"7564","-351.01950133446536","-351.01950133446536","-351.01950133446536"
"7676","-349.9646467791099","-349.9646467791099","-349.9646467791099"
"7735","-356.7728025939169","-356.7728025939169","-356.7728025939169"
"7831","-352.15666111682367","-352.15666111682367","-352.15666111682367"
"7951","-355.25406239639597","-355.25406239639597","-355.25406239639597"
"8007","-344.5034749463265","-344.5034749463265","-344.5034749463265"
"8081","-380.00585890795924","-380.00585890795924","-380.00585890795924"
"8140","-343.20534851231935","-343.20534851231935","-343.20534851231935"
