"Step","joint_gating/Pr=0.8/beta=10.0 - Num episodes with constraint violations","joint_gating/Pr=0.8/beta=10.0 - Num episodes with constraint violations__MIN","joint_gating/Pr=0.8/beta=10.0 - Num episodes with constraint violations__MAX"
"359","0","0","0"
"579","0","0","0"
"772","1","1","1"
"877","2","2","2"
"933","3","3","3"
"1094","4","4","4"
"1197","5","5","5"
"1324","5","5","5"
"1403","6","6","6"
"1476","6","6","6"
"1537","6","6","6"
"1673","6","6","6"
"1745","6","6","6"
"1831","6","6","6"
"1921","6","6","6"
"2026","6","6","6"
"2167","6","6","6"
"2231","7","7","7"
"2293","8","8","8"
"2353","9","9","9"
"2424","10","10","10"
"2480","10","10","10"
"2592","10","10","10"
"2657","10","10","10"
"2837","10","10","10"
"2963","11","11","11"
"3050","12","12","12"
"3166","12","12","12"
"3284","12","12","12"
"3340","13","13","13"
"3397","13","13","13"
"3531","13","13","13"
"3614","13","13","13"
"3689","13","13","13"
"3766","13","13","13"
"3830","14","14","14"
"3989","14","14","14"
"4147","15","15","15"
"4270","16","16","16"
"4441","16","16","16"
"4523","16","16","16"
"4611","16","16","16"
"4732","17","17","17"
"4819","18","18","18"
"4961","19","19","19"
"5100","19","19","19"
"5194","19","19","19"
"5250","20","20","20"
"5325","21","21","21"
"5391","21","21","21"
"5461","21","21","21"
"5575","21","21","21"
"5649","21","21","21"
"5798","21","21","21"
"5896","22","22","22"
"6002","23","23","23"
"6072","24","24","24"
"6192","24","24","24"
"6323","24","24","24"
"6401","25","25","25"
"6522","25","25","25"
"6590","26","26","26"
"6683","27","27","27"
"6771","27","27","27"
"6898","27","27","27"
"7013","27","27","27"
"7086","27","27","27"
"7191","27","27","27"
"7260","27","27","27"
"7333","28","28","28"
"7393","28","28","28"
"7478","29","29","29"
"7566","29","29","29"
"7678","30","30","30"
"7737","30","30","30"
"7833","31","31","31"
"7953","31","31","31"
"8009","32","32","32"
"8083","33","33","33"
"8142","34","34","34"
